resource_id,department_id,avg_gpa,current_gpa,is_poor
00000000-0000-0000-0002-000000000002,4081,3.75,,f
00000000-0000-0000-0002-000000000002,7011,,,f
00000000-0000-0000-0002-000000000002,6070,3.89,4.27,f
00000000-0000-0000-0002-000000000002,3100,,,f
00000000-0000-0000-0002-000000000003,6130,,4.13,f
00000000-0000-0000-0002-000000000003,5050,,4.29,f
00000000-0000-0000-0002-000000000003,1020,3.97,4.24,f
00000000-0000-0000-0002-000000000003,4090,4.15,,f
00000000-0000-0000-0002-000000000003,6060,,,f
00000000-0000-0000-0002-000000000003,40A0,,4.03,f
00000000-0000-0000-0002-000000000003,B0A0,4.07,3.74,f
00000000-0000-0000-0002-000000000004,4020,4.22,,f
00000000-0000-0000-0002-000000000004,5020,4.23,,f
00000000-0000-0000-0002-000000000004,60A0,3.81,4.09,f
00000000-0000-0000-0002-000000000004,30A0,4.16,,f
00000000-0000-0000-0002-000000000004,O020,3.83,,f
00000000-0000-0000-0002-000000000004,B0A0,3.73,4.17,f
00000000-0000-0000-0002-000000000004,6010,3.71,4,f
00000000-0000-0000-0002-000000000004,O010,,3.94,f
00000000-0000-0000-0002-000000000004,A013,4.19,4.08,f
00000000-0000-0000-0002-000000000004,6150,3.91,,f
00000000-0000-0000-0002-000000000004,6030,,4.15,f
00000000-0000-0000-0002-000000000004,6080,,,f
00000000-0000-0000-0002-000000000004,6110,,3.78,f
00000000-0000-0000-0002-000000000004,3022,4.1,,f
00000000-0000-0000-0002-000000000004,4010,3.94,4.21,f
00000000-0000-0000-0002-000000000004,9010,,,f
00000000-0000-0000-0002-000000000004,1030,,3.89,f
00000000-0000-0000-0002-000000000004,H060,3.91,,f
00000000-0000-0000-0002-000000000004,7020,3.76,4.11,f
00000000-0000-0000-0002-000000000004,4040,3.78,3.98,f
00000000-0000-0000-0002-000000000004,2010,,3.89,f
00000000-0000-0000-0002-000000000004,7012,,4.02,f
00000000-0000-0000-0002-000000000005,6010,,,f
00000000-0000-0000-0002-000000000005,9020,,,f
00000000-0000-0000-0002-000000000005,2040,,3.97,f
00000000-0000-0000-0002-000000000005,6130,4.12,4.22,f
00000000-0000-0000-0002-000000000005,1040,4.13,3.85,f
00000000-0000-0000-0002-000000000005,H040,4.22,4.16,f
00000000-0000-0000-0002-000000000005,4120,4.08,3.82,f
00000000-0000-0000-0002-000000000005,4081,,3.9,f
00000000-0000-0000-0002-000000000005,2010,4.15,,f
00000000-0000-0000-0002-000000000005,40A0,,3.72,f
00000000-0000-0000-0002-000000000005,4030,,4.04,f
00000000-0000-0000-0002-000000000005,O010,,3.74,f
00000000-0000-0000-0002-000000000005,5040,3.76,,f
00000000-0000-0000-0002-000000000005,7060,,3.94,f
00000000-0000-0000-0002-000000000005,H050,,3.97,f
00000000-0000-0000-0002-000000000005,3020,3.97,,f
00000000-0000-0000-0002-000000000005,5080,,4.25,f
00000000-0000-0000-0002-000000000005,1070,3.7,,f
00000000-0000-0000-0002-000000000005,B010,,,f
00000000-0000-0000-0002-000000000005,3030,3.8,3.73,f
00000000-0000-0000-0002-000000000005,4080,4.23,,f
00000000-0000-0000-0002-000000000005,3050,,,f
00000000-0000-0000-0002-000000000005,7011,4.1,4.23,f
00000000-0000-0000-0002-000000000005,1050,3.98,4.29,f
00000000-0000-0000-0002-000000000005,2030,,,f
00000000-0000-0000-0002-000000000005,50A0,4.11,,f
00000000-0000-0000-0002-000000000005,4020,3.76,,f
00000000-0000-0000-0002-000000000005,2090,4.07,3.94,f
00000000-0000-0000-0002-000000000005,8010,3.97,4,f
00000000-0000-0000-0002-000000000005,O020,4.19,,f
00000000-0000-0000-0002-000000000005,5050,3.94,4.13,f
00000000-0000-0000-0002-000000000005,5020,,4,f
00000000-0000-0000-0002-000000000005,2070,4.29,4.27,f
00000000-0000-0000-0002-000000000005,A013,4.06,,f
00000000-0000-0000-0002-000000000005,6060,3.73,,f
00000000-0000-0000-0002-000000000005,B020,4.26,4.2,f
00000000-0000-0000-0002-000000000005,9010,,,f
00000000-0000-0000-0002-000000000005,6120,,3.7,f
00000000-0000-0000-0002-000000000005,7010,,4.21,f
00000000-0000-0000-0002-000000000005,2020,3.74,3.88,f
00000000-0000-0000-0002-000000000005,Z010,,3.93,f
00000000-0000-0000-0002-000000000005,7020,,,f
00000000-0000-0000-0002-000000000005,6100,4.19,4.06,f
00000000-0000-0000-0002-000000000005,3100,,3.82,f
00000000-0000-0000-0002-000000000005,4040,4.16,,f
00000000-0000-0000-0002-000000000005,60A0,3.75,,f
00000000-0000-0000-0002-000000000005,6110,4,,f
00000000-0000-0000-0002-000000000005,5010,3.77,,f
00000000-0000-0000-0002-000000000005,1011,3.89,,f
00000000-0000-0000-0002-000000000005,1020,4.07,3.83,f
00000000-0000-0000-0002-000000000006,A011,,,f
00000000-0000-0000-0002-000000000006,2040,4.16,3.8,f
00000000-0000-0000-0002-000000000006,6090,,,f
00000000-0000-0000-0002-000000000006,60A0,3.79,3.71,f
00000000-0000-0000-0002-000000000006,3021,,,f
00000000-0000-0000-0002-000000000006,4060,,3.87,f
00000000-0000-0000-0002-000000000006,7040,,,f
00000000-0000-0000-0002-000000000006,2090,3.72,,f
00000000-0000-0000-0002-000000000006,7010,3.93,4.22,f
00000000-0000-0000-0002-000000000006,6050,3.75,,f
00000000-0000-0000-0002-000000000006,6130,4.21,4.01,f
00000000-0000-0000-0002-000000000006,O020,,,f
00000000-0000-0000-0002-000000000006,6100,,,f
00000000-0000-0000-0002-000000000006,H050,3.76,,f
00000000-0000-0000-0002-000000000006,7060,,,f
00000000-0000-0000-0002-000000000006,4080,,3.87,f
00000000-0000-0000-0002-000000000006,7012,,,f
00000000-0000-0000-0002-000000000006,5020,3.9,,f
00000000-0000-0000-0002-000000000006,1090,3.77,,f
00000000-0000-0000-0002-000000000006,6060,,4.11,f
00000000-0000-0000-0002-000000000006,3023,,4.12,f
00000000-0000-0000-0002-000000000006,B010,,,f
00000000-0000-0000-0002-000000000006,7020,4.15,3.73,f
00000000-0000-0000-0002-000000000006,5040,,,f
00000000-0000-0000-0002-000000000006,1011,3.75,,f
00000000-0000-0000-0002-000000000006,H060,,3.79,f
00000000-0000-0000-0002-000000000006,B0A0,4.11,,f
00000000-0000-0000-0002-000000000006,O010,,,f
00000000-0000-0000-0002-000000000006,5070,,4.28,f
00000000-0000-0000-0002-000000000006,4040,3.9,,f
00000000-0000-0000-0002-000000000006,3030,3.72,4.18,f
00000000-0000-0000-0002-000000000006,1030,,4.23,f
00000000-0000-0000-0002-000000000006,2010,3.72,4.13,f
00000000-0000-0000-0002-000000000006,B020,,4,f
00000000-0000-0000-0002-000000000006,2020,,,f
00000000-0000-0000-0002-000000000006,4120,3.94,3.85,f
00000000-0000-0000-0002-000000000006,3022,3.9,,f
00000000-0000-0000-0002-000000000006,9020,3.98,3.98,f
00000000-0000-0000-0002-000000000006,2080,,3.76,f
00000000-0000-0000-0002-000000000006,7050,,3.81,f
00000000-0000-0000-0002-000000000006,5050,3.83,4.05,f
00000000-0000-0000-0002-000000000006,2070,,,f
00000000-0000-0000-0002-000000000006,A013,,3.73,f
00000000-0000-0000-0002-000000000006,3100,4.3,,f
00000000-0000-0000-0002-000000000006,5010,,3.75,f
00000000-0000-0000-0002-000000000006,30A0,3.98,4.09,f
00000000-0000-0000-0002-000000000006,6020,3.98,,f
00000000-0000-0000-0002-000000000006,1050,,4.23,f
00000000-0000-0000-0002-000000000006,1040,4.12,3.84,f
00000000-0000-0000-0002-000000000006,1060,4.06,4.17,f
00000000-0000-0000-0002-000000000006,50A0,,,f
00000000-0000-0000-0002-000000000006,2030,4.03,4,f
00000000-0000-0000-0002-000000000006,6030,3.72,,f
00000000-0000-0000-0002-000000000006,40A0,,3.79,f
00000000-0000-0000-0002-000000000006,A012,,,f
00000000-0000-0000-0002-000000000006,H040,,4.13,f
00000000-0000-0000-0002-000000000006,4030,4.13,4.24,f
00000000-0000-0000-0002-000000000006,6110,3.85,,f
00000000-0000-0000-0002-000000000006,1020,3.73,3.75,f
00000000-0000-0000-0002-000000000006,4090,4.28,3.82,f
00000000-0000-0000-0002-000000000006,3020,,,f
00000000-0000-0000-0002-000000000006,4020,3.92,3.76,f
00000000-0000-0000-0002-000000000006,6120,,3.84,f
00000000-0000-0000-0002-000000000006,Z010,,3.93,f
00000000-0000-0000-0002-000000000006,6070,,,f
00000000-0000-0000-0002-000000000006,1010,,,f
00000000-0000-0000-0002-000000000006,7030,3.96,,f
00000000-0000-0000-0002-000000000006,6080,,4.19,f
00000000-0000-0000-0002-000000000006,6010,3.77,3.75,f
00000000-0000-0000-0002-000000000006,4010,,,f
00000000-0000-0000-0002-000000000006,4031,,4.11,f
00000000-0000-0000-0002-000000000006,6150,,,f
00000000-0000-0000-0002-000000000006,9010,,,f
00000000-0000-0000-0002-000000000007,50A0,3.92,,f
00000000-0000-0000-0002-000000000007,3100,,,f
00000000-0000-0000-0002-000000000007,5010,3.74,3.9,f
00000000-0000-0000-0002-000000000007,2010,,,f
00000000-0000-0000-0002-000000000007,A012,,,f
00000000-0000-0000-0002-000000000007,6120,,,f
00000000-0000-0000-0002-000000000007,H060,,3.88,f
00000000-0000-0000-0002-000000000007,2040,3.98,4.24,f
00000000-0000-0000-0002-000000000007,6010,,,f
00000000-0000-0000-0002-000000000007,7012,3.86,,f
00000000-0000-0000-0002-000000000007,30A0,3.86,3.96,f
00000000-0000-0000-0002-000000000007,5070,,3.87,f
00000000-0000-0000-0002-000000000007,8010,3.99,4.01,f
00000000-0000-0000-0002-000000000007,1070,,4.27,f
00000000-0000-0000-0002-000000000007,B020,,,f
00000000-0000-0000-0002-000000000007,1011,,,f
00000000-0000-0000-0002-000000000007,O010,,3.78,f
00000000-0000-0000-0002-000000000007,3020,4.19,3.91,f
00000000-0000-0000-0002-000000000007,7050,4.15,,f
00000000-0000-0000-0002-000000000007,6030,,4.14,f
00000000-0000-0000-0002-000000000007,6110,,3.81,f
00000000-0000-0000-0002-000000000007,B010,,4.19,f
00000000-0000-0000-0002-000000000007,2070,4.13,,f
00000000-0000-0000-0002-000000000007,5050,,3.84,f
00000000-0000-0000-0002-000000000007,7010,,,f
00000000-0000-0000-0002-000000000007,4060,3.93,,f
00000000-0000-0000-0002-000000000007,4120,,4.12,f
00000000-0000-0000-0002-000000000007,Z010,,,f
00000000-0000-0000-0002-000000000007,4090,,,f
00000000-0000-0000-0002-000000000007,6090,3.98,,f
00000000-0000-0000-0002-000000000007,6050,3.87,3.78,f
00000000-0000-0000-0002-000000000007,1040,,4.14,f
00000000-0000-0000-0002-000000000007,2020,,4.13,f
00000000-0000-0000-0002-000000000007,2030,,3.94,f
00000000-0000-0000-0002-000000000007,6130,,4.05,f
00000000-0000-0000-0002-000000000007,7040,4.08,,f
00000000-0000-0000-0002-000000000007,A011,3.82,4.17,f
00000000-0000-0000-0002-000000000007,1090,3.87,3.93,f
00000000-0000-0000-0002-000000000007,7060,3.83,,f
00000000-0000-0000-0002-000000000007,4020,,,f
00000000-0000-0000-0002-000000000007,7030,3.74,,f
00000000-0000-0000-0002-000000000007,7020,4.13,,f
00000000-0000-0000-0002-000000000008,6150,4.16,,f
00000000-0000-0000-0002-000000000008,6090,,4.01,f
00000000-0000-0000-0002-000000000008,2030,3.8,4,t
00000000-0000-0000-0002-000000000008,6080,4.28,4.05,f
00000000-0000-0000-0002-000000000008,3100,3.95,3.79,t
00000000-0000-0000-0002-000000000008,3023,4.17,,f
00000000-0000-0000-0002-000000000008,5010,,4.16,f
00000000-0000-0000-0002-000000000008,1050,3.88,3.83,f
00000000-0000-0000-0002-000000000008,H060,3.98,,t
00000000-0000-0000-0002-000000000008,4040,4.09,4.13,f
00000000-0000-0000-0002-000000000008,6130,4.26,,f
00000000-0000-0000-0002-000000000008,B0A0,,,f
00000000-0000-0000-0002-000000000008,6110,,3.73,f
00000000-0000-0000-0002-000000000008,6060,4.04,4.02,f
00000000-0000-0000-0002-000000000008,7050,,,f
00000000-0000-0000-0002-000000000008,4080,4.3,,f
00000000-0000-0000-0002-000000000008,A012,4.1,3.88,f
00000000-0000-0000-0002-000000000008,3030,3.71,,f
00000000-0000-0000-0002-000000000008,3022,4.09,4.21,f
00000000-0000-0000-0002-000000000008,5090,,3.8,f
00000000-0000-0000-0002-000000000008,1010,3.86,,t
00000000-0000-0000-0002-000000000008,6030,,4.17,f
00000000-0000-0000-0002-000000000008,A011,,4.19,t
00000000-0000-0000-0002-000000000008,3021,4.23,,t
00000000-0000-0000-0002-000000000008,1030,,,f
00000000-0000-0000-0002-000000000008,2090,3.83,3.9,f
00000000-0000-0000-0002-000000000008,6050,3.87,,f
00000000-0000-0000-0002-000000000008,1060,3.96,,f
00000000-0000-0000-0002-000000000008,9010,,,t
00000000-0000-0000-0002-000000000009,3100,3.8,,f
00000000-0000-0000-0002-000000000009,4080,,,f
00000000-0000-0000-0002-000000000009,3022,,3.8,f
00000000-0000-0000-0002-000000000009,4030,3.99,4.24,f
00000000-0000-0000-0002-000000000009,30A0,,,f
00000000-0000-0000-0002-000000000009,6080,3.78,3.75,f
00000000-0000-0000-0002-000000000009,5070,,,f
00000000-0000-0000-0002-000000000009,3020,4.11,4.22,f
00000000-0000-0000-0002-000000000009,7030,4.12,,f
00000000-0000-0000-0002-000000000009,4020,,,f
00000000-0000-0000-0002-000000000009,4090,4.28,3.91,f
00000000-0000-0000-0002-000000000009,3023,3.76,,f
00000000-0000-0000-0002-000000000009,B020,,3.82,f
00000000-0000-0000-0002-000000000009,50A0,4.04,4.15,f
00000000-0000-0000-0002-000000000009,4120,4.1,,f
00000000-0000-0000-0002-000000000009,2020,,4.27,f
00000000-0000-0000-0002-000000000009,40A0,,,f
00000000-0000-0000-0002-000000000009,H050,4.22,4.16,f
00000000-0000-0000-0002-000000000009,1050,,3.79,f
00000000-0000-0000-0002-000000000009,1020,,4.02,f
00000000-0000-0000-0002-000000000009,5020,4.24,,f
00000000-0000-0000-0002-000000000009,7060,,,f
00000000-0000-0000-0002-000000000009,6100,4.07,,f
00000000-0000-0000-0002-000000000009,4060,3.71,4.02,f
00000000-0000-0000-0002-000000000009,3030,,,f
00000000-0000-0000-0002-000000000009,6130,4.26,,f
00000000-0000-0000-0002-000000000009,A013,3.83,3.92,f
00000000-0000-0000-0002-000000000009,2070,,3.8,f
00000000-0000-0000-0002-000000000009,6010,3.87,3.81,f
00000000-0000-0000-0002-000000000009,4040,3.71,3.79,f
00000000-0000-0000-0002-000000000009,6110,,4.26,f
00000000-0000-0000-0002-000000000009,9020,,4.07,f
00000000-0000-0000-0002-000000000009,1010,4.02,4.26,f
00000000-0000-0000-0002-000000000009,7011,4.18,,f
00000000-0000-0000-0002-000000000009,4010,,,f
00000000-0000-0000-0002-000000000009,1011,4.08,,f
00000000-0000-0000-0002-000000000009,A012,,4.2,f
00000000-0000-0000-0002-000000000009,8010,,3.89,f
00000000-0000-0000-0002-000000000009,H040,3.75,3.81,f
00000000-0000-0000-0002-000000000009,5040,,,f
00000000-0000-0000-0002-000000000009,2010,,3.97,f
00000000-0000-0000-0002-000000000009,6060,,,f
00000000-0000-0000-0002-000000000009,2090,,4.07,f
00000000-0000-0000-0002-000000000009,6050,,,f
00000000-0000-0000-0002-000000000009,1070,,,f
00000000-0000-0000-0002-000000000009,6030,,3.81,f
00000000-0000-0000-0002-000000000009,7040,3.78,,f
00000000-0000-0000-0002-000000000009,6120,,4.21,f
00000000-0000-0000-0002-000000000009,3050,,4.15,f
00000000-0000-0000-0002-000000000009,5010,,,f
00000000-0000-0000-0002-000000000009,60A0,,,f
00000000-0000-0000-0002-000000000009,5080,4.03,3.81,f
00000000-0000-0000-0002-000000000009,B010,,,f
00000000-0000-0000-0002-000000000009,5090,,4.2,f
00000000-0000-0000-0002-000000000009,O020,,,f
00000000-0000-0000-0002-000000000009,H060,,,f
00000000-0000-0000-0002-000000000009,7050,4,,f
00000000-0000-0000-0002-000000000009,1040,,4.28,f
00000000-0000-0000-0002-000000000009,6090,,3.8,f
00000000-0000-0000-0002-000000000009,9010,,3.76,f
00000000-0000-0000-0002-000000000009,7012,3.9,,f
00000000-0000-0000-0002-000000000009,6020,,,f
00000000-0000-0000-0002-000000000009,3021,4.04,4.16,f
00000000-0000-0000-0002-000000000009,5050,,,f
00000000-0000-0000-0002-000000000009,1090,4.26,4.28,f
00000000-0000-0000-0002-000000000009,1060,,,f
00000000-0000-0000-0002-000000000009,4031,3.71,,f
00000000-0000-0000-0002-000000000009,7020,,4.23,f
00000000-0000-0000-0002-000000000009,6070,,,f
00000000-0000-0000-0002-000000000009,2040,,4.19,f
00000000-0000-0000-0002-000000000009,7010,,,f
00000000-0000-0000-0002-000000000009,Z010,,3.84,f
00000000-0000-0000-0002-000000000009,B0A0,,,f
00000000-0000-0000-0002-000000000009,6150,,,f
00000000-0000-0000-0002-000000000009,1030,4.05,,f
00000000-0000-0000-0002-000000000009,2030,3.78,,f
00000000-0000-0000-0002-000000000009,A011,4.13,4.14,f
00000000-0000-0000-0002-000000000010,5090,,,f
00000000-0000-0000-0002-000000000011,4031,4.14,,f
00000000-0000-0000-0002-000000000011,6150,,4.25,f
00000000-0000-0000-0002-000000000011,7060,3.75,,f
00000000-0000-0000-0002-000000000011,3020,4.22,3.91,f
00000000-0000-0000-0002-000000000011,7020,4.19,,f
00000000-0000-0000-0002-000000000011,B010,4.12,4.08,f
00000000-0000-0000-0002-000000000011,2080,3.72,4.03,f
00000000-0000-0000-0002-000000000011,B0A0,,4.23,f
00000000-0000-0000-0002-000000000011,5090,4.12,,f
00000000-0000-0000-0002-000000000011,1090,3.72,,f
00000000-0000-0000-0002-000000000011,B020,,,f
00000000-0000-0000-0002-000000000011,2070,,3.76,f
00000000-0000-0000-0002-000000000011,O010,,4.02,f
00000000-0000-0000-0002-000000000011,6070,,,f
00000000-0000-0000-0002-000000000011,6100,4.05,4.23,f
00000000-0000-0000-0002-000000000011,4120,3.88,,f
00000000-0000-0000-0002-000000000011,7011,3.97,3.87,f
00000000-0000-0000-0002-000000000011,O020,3.75,4.01,f
00000000-0000-0000-0002-000000000011,50A0,,4.3,f
00000000-0000-0000-0002-000000000011,7040,4.27,,f
00000000-0000-0000-0002-000000000011,6120,,3.96,f
00000000-0000-0000-0002-000000000011,4080,4.19,,f
00000000-0000-0000-0002-000000000011,1010,,3.95,f
00000000-0000-0000-0002-000000000011,2030,4.23,3.88,f
00000000-0000-0000-0002-000000000011,A011,4.21,,f
00000000-0000-0000-0002-000000000011,40A0,,3.82,f
00000000-0000-0000-0002-000000000011,6090,3.87,,f
00000000-0000-0000-0002-000000000011,4081,,4.13,f
00000000-0000-0000-0002-000000000011,60A0,4.18,,f
00000000-0000-0000-0002-000000000011,H040,,,f
00000000-0000-0000-0002-000000000011,5050,,,f
00000000-0000-0000-0002-000000000011,1050,,,f
00000000-0000-0000-0002-000000000011,A012,,4.27,f
00000000-0000-0000-0002-000000000011,3021,,4.1,f
00000000-0000-0000-0002-000000000011,1070,,3.82,f
00000000-0000-0000-0002-000000000011,9010,3.94,3.86,f
00000000-0000-0000-0002-000000000011,2010,,,f
00000000-0000-0000-0002-000000000011,2090,3.77,,f
00000000-0000-0000-0002-000000000011,4060,,,f
00000000-0000-0000-0002-000000000011,1020,,3.82,f
00000000-0000-0000-0002-000000000011,3100,4.2,,f
00000000-0000-0000-0002-000000000011,7010,,4.26,f
00000000-0000-0000-0002-000000000011,30A0,3.87,4.09,f
00000000-0000-0000-0002-000000000011,7012,,4.15,f
00000000-0000-0000-0002-000000000011,4040,,,f
00000000-0000-0000-0002-000000000011,5070,3.91,,f
00000000-0000-0000-0002-000000000011,H050,,4.1,f
00000000-0000-0000-0002-000000000011,8010,3.74,,f
00000000-0000-0000-0002-000000000011,6020,,,f
00000000-0000-0000-0002-000000000011,4030,,,f
00000000-0000-0000-0002-000000000011,7030,3.9,,f
00000000-0000-0000-0002-000000000011,2040,,4.27,f
00000000-0000-0000-0002-000000000012,2070,,,f
00000000-0000-0000-0002-000000000012,6120,,4.26,f
00000000-0000-0000-0002-000000000012,B020,,4.03,f
00000000-0000-0000-0002-000000000012,7010,,4.2,f
00000000-0000-0000-0002-000000000012,30A0,,,f
00000000-0000-0000-0002-000000000012,4080,3.75,,f
00000000-0000-0000-0002-000000000012,3050,4.12,4.3,f
00000000-0000-0000-0002-000000000012,Z010,3.95,4.03,f
00000000-0000-0000-0002-000000000012,2090,4.2,4.05,f
00000000-0000-0000-0002-000000000012,6050,,,f
00000000-0000-0000-0002-000000000012,5040,3.85,4.06,f
00000000-0000-0000-0002-000000000012,8010,,3.71,f
00000000-0000-0000-0002-000000000012,6110,,3.86,f
00000000-0000-0000-0002-000000000012,1060,,,f
00000000-0000-0000-0002-000000000012,5070,,4.16,f
00000000-0000-0000-0002-000000000012,7050,,3.91,f
00000000-0000-0000-0002-000000000012,6030,4.2,4.09,f
00000000-0000-0000-0002-000000000012,5010,,,f
00000000-0000-0000-0002-000000000012,H060,,3.88,f
00000000-0000-0000-0002-000000000012,A011,3.94,,f
00000000-0000-0000-0002-000000000012,6150,3.95,4.21,f
00000000-0000-0000-0002-000000000012,9010,,,f
00000000-0000-0000-0002-000000000012,1011,,3.79,f
00000000-0000-0000-0002-000000000012,A012,,,f
00000000-0000-0000-0002-000000000012,6080,3.77,,f
00000000-0000-0000-0002-000000000012,O010,3.92,,f
00000000-0000-0000-0002-000000000012,6020,4.28,,f
00000000-0000-0000-0002-000000000012,1010,,3.91,f
00000000-0000-0000-0002-000000000012,A013,,,f
00000000-0000-0000-0002-000000000012,3030,,,f
00000000-0000-0000-0002-000000000012,6060,4.23,,f
00000000-0000-0000-0002-000000000012,7030,3.97,,f
00000000-0000-0000-0002-000000000012,B010,3.89,,f
00000000-0000-0000-0002-000000000012,O020,4.19,3.74,f
00000000-0000-0000-0002-000000000012,2030,,,f
00000000-0000-0000-0002-000000000012,6130,,3.76,f
00000000-0000-0000-0002-000000000012,1030,,4.29,f
00000000-0000-0000-0002-000000000012,3023,3.99,,f
00000000-0000-0000-0002-000000000012,7012,,4.12,f
00000000-0000-0000-0002-000000000012,3021,,3.75,f
00000000-0000-0000-0002-000000000012,9020,,3.75,f
00000000-0000-0000-0002-000000000012,1020,,,f
00000000-0000-0000-0002-000000000012,5020,,,f
00000000-0000-0000-0002-000000000012,H040,,3.72,f
00000000-0000-0000-0002-000000000012,1090,,3.73,f
00000000-0000-0000-0002-000000000012,4120,,,f
00000000-0000-0000-0002-000000000012,H050,4.09,,f
00000000-0000-0000-0002-000000000012,6100,,3.77,f
00000000-0000-0000-0002-000000000012,2010,,,f
00000000-0000-0000-0002-000000000012,3100,,,f
00000000-0000-0000-0002-000000000012,50A0,3.78,3.89,f
00000000-0000-0000-0002-000000000012,5050,3.9,3.79,f
