user_id,semester,gpa
00000000-0000-0000-0000-000000000491,110-2,2.918
00000000-0000-0000-0000-000000000491,111-1,2.945
00000000-0000-0000-0000-000000000491,111-2,1.792
00000000-0000-0000-0000-000000000491,112-1,2.883
00000000-0000-0000-0000-000000000491,112-2,2.52
00000000-0000-0000-0000-000000000491,113-1,0.782
00000000-0000-0000-0000-000000000491,113-2,3.082
00000000-0000-0000-0000-000000000498,113-1,1.783
00000000-0000-0000-0000-000000000498,113-2,2.09
00000000-0000-0000-0000-000000000554,110-1,2.22
00000000-0000-0000-0000-000000000554,110-2,2.38
00000000-0000-0000-0000-000000000554,111-1,2.88
00000000-0000-0000-0000-000000000554,111-2,2.355
00000000-0000-0000-0000-000000000554,112-1,2.318
00000000-0000-0000-0000-000000000554,112-2,3.036
00000000-0000-0000-0000-000000000554,113-1,3.383
00000000-0000-0000-0000-000000000554,113-2,1.78
00000000-0000-0000-0000-000000000134,113-1,2.52
00000000-0000-0000-0000-000000000134,113-2,2.577
00000000-0000-0000-0000-000000000470,107-1,3.533
00000000-0000-0000-0000-000000000470,107-2,2.33
00000000-0000-0000-0000-000000000470,108-1,3.3
00000000-0000-0000-0000-000000000470,108-2,2.6
00000000-0000-0000-0000-000000000470,109-1,2.227
00000000-0000-0000-0000-000000000470,109-2,1.875
00000000-0000-0000-0000-000000000470,110-1,2.518
00000000-0000-0000-0000-000000000470,110-2,2.8
00000000-0000-0000-0000-000000000470,111-1,3.336
00000000-0000-0000-0000-000000000470,111-2,2.25
00000000-0000-0000-0000-000000000470,112-1,3.109
00000000-0000-0000-0000-000000000470,112-2,2.258
00000000-0000-0000-0000-000000000470,113-1,2.8
00000000-0000-0000-0000-000000000470,113-2,2.26
00000000-0000-0000-0000-000000000384,111-1,3.91
00000000-0000-0000-0000-000000000384,111-2,3.127
00000000-0000-0000-0000-000000000384,112-1,3
00000000-0000-0000-0000-000000000384,112-2,3.05
00000000-0000-0000-0000-000000000384,113-1,1.61
00000000-0000-0000-0000-000000000384,113-2,1.645
00000000-0000-0000-0000-000000000237,108-1,3.067
00000000-0000-0000-0000-000000000237,108-2,2.918
00000000-0000-0000-0000-000000000237,109-1,2.66
00000000-0000-0000-0000-000000000237,109-2,3.65
00000000-0000-0000-0000-000000000237,110-1,1.88
00000000-0000-0000-0000-000000000237,110-2,3.667
00000000-0000-0000-0000-000000000237,111-1,3
00000000-0000-0000-0000-000000000237,111-2,2.364
00000000-0000-0000-0000-000000000237,112-1,3.4
00000000-0000-0000-0000-000000000237,112-2,2
00000000-0000-0000-0000-000000000237,113-1,0.727
00000000-0000-0000-0000-000000000237,113-2,2.755
00000000-0000-0000-0000-000000000608,112-1,2.918
00000000-0000-0000-0000-000000000608,112-2,2
00000000-0000-0000-0000-000000000608,113-1,2.7
00000000-0000-0000-0000-000000000608,113-2,3.345
00000000-0000-0000-0000-000000000156,110-1,2.182
00000000-0000-0000-0000-000000000156,110-2,3.08
00000000-0000-0000-0000-000000000156,111-1,2.12
00000000-0000-0000-0000-000000000156,111-2,2.667
00000000-0000-0000-0000-000000000156,112-1,3.717
00000000-0000-0000-0000-000000000156,112-2,2.267
00000000-0000-0000-0000-000000000156,113-1,2.282
00000000-0000-0000-0000-000000000156,113-2,3.7
00000000-0000-0000-0000-000000000356,109-1,2.3
00000000-0000-0000-0000-000000000356,109-2,2.92
00000000-0000-0000-0000-000000000356,110-1,3.22
00000000-0000-0000-0000-000000000356,110-2,2.667
00000000-0000-0000-0000-000000000356,111-1,2.062
00000000-0000-0000-0000-000000000356,111-2,3.664
00000000-0000-0000-0000-000000000356,112-1,2.623
00000000-0000-0000-0000-000000000356,112-2,3.2
00000000-0000-0000-0000-000000000356,113-1,3.21
00000000-0000-0000-0000-000000000356,113-2,2.936
00000000-0000-0000-0000-000000000490,108-1,2.46
00000000-0000-0000-0000-000000000490,108-2,2.92
00000000-0000-0000-0000-000000000490,109-1,2.31
00000000-0000-0000-0000-000000000490,109-2,2.4
00000000-0000-0000-0000-000000000490,110-1,0.767
00000000-0000-0000-0000-000000000490,110-2,2.442
00000000-0000-0000-0000-000000000490,111-1,2.68
00000000-0000-0000-0000-000000000490,111-2,2.383
00000000-0000-0000-0000-000000000490,112-1,3.16
00000000-0000-0000-0000-000000000490,112-2,2.69
00000000-0000-0000-0000-000000000490,113-1,3.327
00000000-0000-0000-0000-000000000490,113-2,3.3
00000000-0000-0000-0000-000000000551,110-1,3.433
00000000-0000-0000-0000-000000000551,110-2,3.733
00000000-0000-0000-0000-000000000551,111-1,3.2
00000000-0000-0000-0000-000000000551,111-2,1.867
00000000-0000-0000-0000-000000000551,112-1,3.192
00000000-0000-0000-0000-000000000551,112-2,2.87
00000000-0000-0000-0000-000000000551,113-1,2.017
00000000-0000-0000-0000-000000000551,113-2,3.115
00000000-0000-0000-0000-000000000275,107-1,2.683
00000000-0000-0000-0000-000000000275,107-2,2.15
00000000-0000-0000-0000-000000000275,108-1,1.7
00000000-0000-0000-0000-000000000275,108-2,2.867
00000000-0000-0000-0000-000000000275,109-1,2.06
00000000-0000-0000-0000-000000000275,109-2,2.442
00000000-0000-0000-0000-000000000275,110-1,3.015
00000000-0000-0000-0000-000000000275,110-2,3.717
00000000-0000-0000-0000-000000000275,111-1,2.43
00000000-0000-0000-0000-000000000275,111-2,3.15
00000000-0000-0000-0000-000000000275,112-1,2.74
00000000-0000-0000-0000-000000000275,112-2,2.98
00000000-0000-0000-0000-000000000275,113-1,2.175
00000000-0000-0000-0000-000000000275,113-2,3.78
00000000-0000-0000-0000-000000000436,111-1,3.054
00000000-0000-0000-0000-000000000436,111-2,2.95
00000000-0000-0000-0000-000000000436,112-1,2.75
00000000-0000-0000-0000-000000000436,112-2,2.825
00000000-0000-0000-0000-000000000436,113-1,1.28
00000000-0000-0000-0000-000000000436,113-2,2.627
00000000-0000-0000-0000-000000000479,109-1,1.2
00000000-0000-0000-0000-000000000479,109-2,2.86
00000000-0000-0000-0000-000000000479,110-1,3.631
00000000-0000-0000-0000-000000000479,110-2,2.28
00000000-0000-0000-0000-000000000479,111-1,3.217
00000000-0000-0000-0000-000000000479,111-2,3.367
00000000-0000-0000-0000-000000000479,112-1,2.982
00000000-0000-0000-0000-000000000479,112-2,2.89
00000000-0000-0000-0000-000000000479,113-1,3.455
00000000-0000-0000-0000-000000000479,113-2,2.7
00000000-0000-0000-0000-000000000322,111-1,3.445
00000000-0000-0000-0000-000000000322,111-2,1.817
00000000-0000-0000-0000-000000000322,112-1,3.936
00000000-0000-0000-0000-000000000322,112-2,2.45
00000000-0000-0000-0000-000000000322,113-1,2.48
00000000-0000-0000-0000-000000000322,113-2,3.01
00000000-0000-0000-0000-000000000576,110-1,2.01
00000000-0000-0000-0000-000000000576,110-2,2.55
00000000-0000-0000-0000-000000000576,111-1,0.92
00000000-0000-0000-0000-000000000576,111-2,2.01
00000000-0000-0000-0000-000000000576,112-1,2.65
00000000-0000-0000-0000-000000000576,112-2,1.8
00000000-0000-0000-0000-000000000576,113-1,2.027
00000000-0000-0000-0000-000000000576,113-2,1.873
00000000-0000-0000-0000-000000000582,111-1,3.664
00000000-0000-0000-0000-000000000582,111-2,2.05
00000000-0000-0000-0000-000000000582,112-1,2.92
00000000-0000-0000-0000-000000000582,112-2,1.745
00000000-0000-0000-0000-000000000582,113-1,2.125
00000000-0000-0000-0000-000000000582,113-2,2.48
00000000-0000-0000-0000-000000000333,111-1,2.755
00000000-0000-0000-0000-000000000333,111-2,2.569
00000000-0000-0000-0000-000000000333,112-1,3.045
00000000-0000-0000-0000-000000000333,112-2,2.918
00000000-0000-0000-0000-000000000333,113-1,1.15
00000000-0000-0000-0000-000000000333,113-2,2.164
00000000-0000-0000-0000-000000000305,107-1,3.475
00000000-0000-0000-0000-000000000305,107-2,3.6
00000000-0000-0000-0000-000000000305,108-1,3.16
00000000-0000-0000-0000-000000000305,108-2,3.32
00000000-0000-0000-0000-000000000305,109-1,3.08
00000000-0000-0000-0000-000000000305,109-2,2.745
00000000-0000-0000-0000-000000000305,110-1,2.355
00000000-0000-0000-0000-000000000305,110-2,2.618
00000000-0000-0000-0000-000000000305,111-1,2.731
00000000-0000-0000-0000-000000000305,111-2,2
00000000-0000-0000-0000-000000000305,112-1,2.49
00000000-0000-0000-0000-000000000305,112-2,3.664
00000000-0000-0000-0000-000000000305,113-1,3.12
00000000-0000-0000-0000-000000000305,113-2,2.53
00000000-0000-0000-0000-000000000388,110-1,3.309
00000000-0000-0000-0000-000000000388,110-2,3.1
00000000-0000-0000-0000-000000000388,111-1,3.94
00000000-0000-0000-0000-000000000388,111-2,2.54
00000000-0000-0000-0000-000000000388,112-1,3.627
00000000-0000-0000-0000-000000000388,112-2,3.977
00000000-0000-0000-0000-000000000388,113-1,3.031
00000000-0000-0000-0000-000000000388,113-2,2.28
00000000-0000-0000-0000-000000000231,110-1,3.63
00000000-0000-0000-0000-000000000231,110-2,2.445
00000000-0000-0000-0000-000000000231,111-1,2.54
00000000-0000-0000-0000-000000000231,111-2,2.867
00000000-0000-0000-0000-000000000231,112-1,3.57
00000000-0000-0000-0000-000000000231,112-2,3.238
00000000-0000-0000-0000-000000000231,113-1,2.945
00000000-0000-0000-0000-000000000231,113-2,2.3
00000000-0000-0000-0000-000000000559,108-1,1.08
00000000-0000-0000-0000-000000000559,108-2,2.4
00000000-0000-0000-0000-000000000559,109-1,1.54
00000000-0000-0000-0000-000000000559,109-2,2.88
00000000-0000-0000-0000-000000000559,110-1,1.791
00000000-0000-0000-0000-000000000559,110-2,1.992
00000000-0000-0000-0000-000000000559,111-1,3.767
00000000-0000-0000-0000-000000000559,111-2,2.908
00000000-0000-0000-0000-000000000559,112-1,2.567
00000000-0000-0000-0000-000000000559,112-2,3.31
00000000-0000-0000-0000-000000000559,113-1,3.427
00000000-0000-0000-0000-000000000559,113-2,3.591
00000000-0000-0000-0000-000000000364,110-1,1.746
00000000-0000-0000-0000-000000000364,110-2,2.945
00000000-0000-0000-0000-000000000364,111-1,2.26
00000000-0000-0000-0000-000000000364,111-2,2.767
00000000-0000-0000-0000-000000000364,112-1,2.073
00000000-0000-0000-0000-000000000364,112-2,3.031
00000000-0000-0000-0000-000000000364,113-1,2.355
00000000-0000-0000-0000-000000000364,113-2,2.717
00000000-0000-0000-0000-000000000295,110-1,3.517
00000000-0000-0000-0000-000000000295,110-2,1.364
00000000-0000-0000-0000-000000000295,111-1,0.46
00000000-0000-0000-0000-000000000295,111-2,3
00000000-0000-0000-0000-000000000295,112-1,1.683
00000000-0000-0000-0000-000000000295,112-2,2.91
00000000-0000-0000-0000-000000000295,113-1,2.308
00000000-0000-0000-0000-000000000295,113-2,2.933
00000000-0000-0000-0000-000000000289,111-1,2.45
00000000-0000-0000-0000-000000000289,111-2,3.018
00000000-0000-0000-0000-000000000289,112-1,1.145
00000000-0000-0000-0000-000000000289,112-2,2.009
00000000-0000-0000-0000-000000000289,113-1,3.183
00000000-0000-0000-0000-000000000289,113-2,1.317
00000000-0000-0000-0000-000000000171,107-1,1.2
00000000-0000-0000-0000-000000000171,107-2,3.508
00000000-0000-0000-0000-000000000171,108-1,2.777
00000000-0000-0000-0000-000000000171,108-2,2.062
00000000-0000-0000-0000-000000000171,109-1,3.42
00000000-0000-0000-0000-000000000171,109-2,2.331
00000000-0000-0000-0000-000000000171,110-1,1.49
00000000-0000-0000-0000-000000000171,110-2,2.736
00000000-0000-0000-0000-000000000171,111-1,1.827
00000000-0000-0000-0000-000000000171,111-2,2.833
00000000-0000-0000-0000-000000000171,112-1,2.825
00000000-0000-0000-0000-000000000171,112-2,1.9
00000000-0000-0000-0000-000000000171,113-1,2.615
00000000-0000-0000-0000-000000000171,113-2,1.691
00000000-0000-0000-0000-000000000351,112-1,3.67
00000000-0000-0000-0000-000000000351,112-2,2.67
00000000-0000-0000-0000-000000000351,113-1,1.39
00000000-0000-0000-0000-000000000351,113-2,2.973
00000000-0000-0000-0000-000000000435,106-1,3.936
00000000-0000-0000-0000-000000000435,106-2,3
00000000-0000-0000-0000-000000000435,107-1,3.367
00000000-0000-0000-0000-000000000435,107-2,2.417
00000000-0000-0000-0000-000000000435,108-1,2.458
00000000-0000-0000-0000-000000000435,108-2,2.369
00000000-0000-0000-0000-000000000435,109-1,3.582
00000000-0000-0000-0000-000000000435,109-2,2.936
00000000-0000-0000-0000-000000000435,110-1,1.14
00000000-0000-0000-0000-000000000435,110-2,2.958
00000000-0000-0000-0000-000000000435,111-1,3.61
00000000-0000-0000-0000-000000000435,111-2,2.991
00000000-0000-0000-0000-000000000435,112-1,3.14
00000000-0000-0000-0000-000000000435,112-2,3.15
00000000-0000-0000-0000-000000000435,113-1,3
00000000-0000-0000-0000-000000000435,113-2,3.018
00000000-0000-0000-0000-000000000438,112-1,3.233
00000000-0000-0000-0000-000000000438,112-2,2.417
00000000-0000-0000-0000-000000000438,113-1,3.542
00000000-0000-0000-0000-000000000438,113-2,3.333
00000000-0000-0000-0000-000000000297,113-1,2.655
00000000-0000-0000-0000-000000000297,113-2,2.309
00000000-0000-0000-0000-000000000387,111-1,3.26
00000000-0000-0000-0000-000000000387,111-2,2.3
00000000-0000-0000-0000-000000000387,112-1,2.02
00000000-0000-0000-0000-000000000387,112-2,2.136
00000000-0000-0000-0000-000000000387,113-1,3.32
00000000-0000-0000-0000-000000000387,113-2,1.958
00000000-0000-0000-0000-000000000138,111-1,3.26
00000000-0000-0000-0000-000000000138,111-2,3.233
00000000-0000-0000-0000-000000000138,112-1,3.4
00000000-0000-0000-0000-000000000138,112-2,2.209
00000000-0000-0000-0000-000000000138,113-1,1.95
00000000-0000-0000-0000-000000000138,113-2,2.491
00000000-0000-0000-0000-000000000273,108-1,2.567
00000000-0000-0000-0000-000000000273,108-2,2.86
00000000-0000-0000-0000-000000000273,109-1,3.255
00000000-0000-0000-0000-000000000273,109-2,2.573
00000000-0000-0000-0000-000000000273,110-1,2.46
00000000-0000-0000-0000-000000000273,110-2,2.464
00000000-0000-0000-0000-000000000273,111-1,1.758
00000000-0000-0000-0000-000000000273,111-2,2.827
00000000-0000-0000-0000-000000000273,112-1,2.946
00000000-0000-0000-0000-000000000273,112-2,3.51
00000000-0000-0000-0000-000000000273,113-1,2.15
00000000-0000-0000-0000-000000000273,113-2,1.48
00000000-0000-0000-0000-000000000415,107-1,3.383
00000000-0000-0000-0000-000000000415,107-2,3.08
00000000-0000-0000-0000-000000000415,108-1,2.52
00000000-0000-0000-0000-000000000415,108-2,3.7
00000000-0000-0000-0000-000000000415,109-1,4
00000000-0000-0000-0000-000000000415,109-2,1.6
00000000-0000-0000-0000-000000000415,110-1,3.06
00000000-0000-0000-0000-000000000415,110-2,3.409
00000000-0000-0000-0000-000000000415,111-1,3.145
00000000-0000-0000-0000-000000000415,111-2,1.709
00000000-0000-0000-0000-000000000415,112-1,2.867
00000000-0000-0000-0000-000000000415,112-2,3.3
00000000-0000-0000-0000-000000000415,113-1,1.867
00000000-0000-0000-0000-000000000415,113-2,2.85
00000000-0000-0000-0000-000000000354,108-1,1.55
00000000-0000-0000-0000-000000000354,108-2,3.392
00000000-0000-0000-0000-000000000354,109-1,3.37
00000000-0000-0000-0000-000000000354,109-2,3.864
00000000-0000-0000-0000-000000000354,110-1,2.2
00000000-0000-0000-0000-000000000354,110-2,2.562
00000000-0000-0000-0000-000000000354,111-1,2.127
00000000-0000-0000-0000-000000000354,111-2,2.79
00000000-0000-0000-0000-000000000354,112-1,2.99
00000000-0000-0000-0000-000000000354,112-2,2.56
00000000-0000-0000-0000-000000000354,113-1,2.191
00000000-0000-0000-0000-000000000354,113-2,2.908
00000000-0000-0000-0000-000000000173,108-1,3.7
00000000-0000-0000-0000-000000000173,108-2,3.5
00000000-0000-0000-0000-000000000173,109-1,2.54
00000000-0000-0000-0000-000000000173,109-2,2.846
00000000-0000-0000-0000-000000000173,110-1,2.936
00000000-0000-0000-0000-000000000173,110-2,1.355
00000000-0000-0000-0000-000000000173,111-1,2.491
00000000-0000-0000-0000-000000000173,111-2,3.7
00000000-0000-0000-0000-000000000173,112-1,3.5
00000000-0000-0000-0000-000000000173,112-2,2.809
00000000-0000-0000-0000-000000000173,113-1,3.218
00000000-0000-0000-0000-000000000173,113-2,4.1
00000000-0000-0000-0000-000000000626,108-1,3.36
00000000-0000-0000-0000-000000000626,108-2,2.458
00000000-0000-0000-0000-000000000626,109-1,2.638
00000000-0000-0000-0000-000000000626,109-2,2.662
00000000-0000-0000-0000-000000000626,110-1,1.991
00000000-0000-0000-0000-000000000626,110-2,2.958
00000000-0000-0000-0000-000000000626,111-1,2.436
00000000-0000-0000-0000-000000000626,111-2,2.9
00000000-0000-0000-0000-000000000626,112-1,2.182
00000000-0000-0000-0000-000000000626,112-2,3.373
00000000-0000-0000-0000-000000000626,113-1,3.43
00000000-0000-0000-0000-000000000626,113-2,3.173
00000000-0000-0000-0000-000000000176,112-1,2.955
00000000-0000-0000-0000-000000000176,112-2,1.823
00000000-0000-0000-0000-000000000176,113-1,2.318
00000000-0000-0000-0000-000000000176,113-2,3.336
00000000-0000-0000-0000-000000000318,109-1,2.591
00000000-0000-0000-0000-000000000318,109-2,2.485
00000000-0000-0000-0000-000000000318,110-1,3.145
00000000-0000-0000-0000-000000000318,110-2,2.78
00000000-0000-0000-0000-000000000318,111-1,2.48
00000000-0000-0000-0000-000000000318,111-2,1.718
00000000-0000-0000-0000-000000000318,112-1,2.86
00000000-0000-0000-0000-000000000318,112-2,2.436
00000000-0000-0000-0000-000000000318,113-1,3.042
00000000-0000-0000-0000-000000000318,113-2,2.536
00000000-0000-0000-0000-000000000234,107-1,2.4
00000000-0000-0000-0000-000000000234,107-2,2
00000000-0000-0000-0000-000000000234,108-1,2.442
00000000-0000-0000-0000-000000000234,108-2,2.682
00000000-0000-0000-0000-000000000234,109-1,3.245
00000000-0000-0000-0000-000000000234,109-2,2.88
00000000-0000-0000-0000-000000000234,110-1,2.36
00000000-0000-0000-0000-000000000234,110-2,2.383
00000000-0000-0000-0000-000000000234,111-1,2.582
00000000-0000-0000-0000-000000000234,111-2,3.1
00000000-0000-0000-0000-000000000234,112-1,2.783
00000000-0000-0000-0000-000000000234,112-2,2.95
00000000-0000-0000-0000-000000000234,113-1,3.225
00000000-0000-0000-0000-000000000234,113-2,2.836
00000000-0000-0000-0000-000000000157,110-1,2.2
00000000-0000-0000-0000-000000000157,110-2,2.775
00000000-0000-0000-0000-000000000157,111-1,3.45
00000000-0000-0000-0000-000000000157,111-2,2.854
00000000-0000-0000-0000-000000000157,112-1,2.108
00000000-0000-0000-0000-000000000157,112-2,3.21
00000000-0000-0000-0000-000000000157,113-1,2.34
00000000-0000-0000-0000-000000000157,113-2,3.38
00000000-0000-0000-0000-000000000414,110-1,3.433
00000000-0000-0000-0000-000000000414,110-2,2.882
00000000-0000-0000-0000-000000000414,111-1,3.031
00000000-0000-0000-0000-000000000414,111-2,3.38
00000000-0000-0000-0000-000000000414,112-1,2.038
00000000-0000-0000-0000-000000000414,112-2,2.791
00000000-0000-0000-0000-000000000414,113-1,2.875
00000000-0000-0000-0000-000000000414,113-2,2.936
00000000-0000-0000-0000-000000000323,107-1,2.246
00000000-0000-0000-0000-000000000323,107-2,2.636
00000000-0000-0000-0000-000000000323,108-1,2.677
00000000-0000-0000-0000-000000000323,108-2,2.98
00000000-0000-0000-0000-000000000323,109-1,1.59
00000000-0000-0000-0000-000000000323,109-2,2.9
00000000-0000-0000-0000-000000000323,110-1,0.309
00000000-0000-0000-0000-000000000323,110-2,3.1
00000000-0000-0000-0000-000000000323,111-1,3.82
00000000-0000-0000-0000-000000000323,111-2,3.092
00000000-0000-0000-0000-000000000323,112-1,0.818
00000000-0000-0000-0000-000000000323,112-2,2.3
00000000-0000-0000-0000-000000000323,113-1,3.445
00000000-0000-0000-0000-000000000323,113-2,3.79
00000000-0000-0000-0000-000000000202,112-1,1.41
00000000-0000-0000-0000-000000000202,112-2,3.092
00000000-0000-0000-0000-000000000202,113-1,2.75
00000000-0000-0000-0000-000000000202,113-2,4.009
00000000-0000-0000-0000-000000000492,108-1,2.94
00000000-0000-0000-0000-000000000492,108-2,3
00000000-0000-0000-0000-000000000492,109-1,1.273
00000000-0000-0000-0000-000000000492,109-2,1.58
00000000-0000-0000-0000-000000000492,110-1,3.567
00000000-0000-0000-0000-000000000492,110-2,2.727
00000000-0000-0000-0000-000000000492,111-1,2.367
00000000-0000-0000-0000-000000000492,111-2,2.93
00000000-0000-0000-0000-000000000492,112-1,2.915
00000000-0000-0000-0000-000000000492,112-2,2.854
00000000-0000-0000-0000-000000000492,113-1,2.155
00000000-0000-0000-0000-000000000492,113-2,2.318
00000000-0000-0000-0000-000000000329,107-1,2.667
00000000-0000-0000-0000-000000000329,107-2,2.454
00000000-0000-0000-0000-000000000329,108-1,1.32
00000000-0000-0000-0000-000000000329,108-2,3.27
00000000-0000-0000-0000-000000000329,109-1,3.209
00000000-0000-0000-0000-000000000329,109-2,2.9
00000000-0000-0000-0000-000000000329,110-1,3.3
00000000-0000-0000-0000-000000000329,110-2,2.133
00000000-0000-0000-0000-000000000329,111-1,2.418
00000000-0000-0000-0000-000000000329,111-2,3.017
00000000-0000-0000-0000-000000000329,112-1,3.054
00000000-0000-0000-0000-000000000329,112-2,3.5
00000000-0000-0000-0000-000000000329,113-1,3.58
00000000-0000-0000-0000-000000000329,113-2,3.177
00000000-0000-0000-0000-000000000534,109-1,3.04
00000000-0000-0000-0000-000000000534,109-2,2.391
00000000-0000-0000-0000-000000000534,110-1,2
00000000-0000-0000-0000-000000000534,110-2,2.382
00000000-0000-0000-0000-000000000534,111-1,2.191
00000000-0000-0000-0000-000000000534,111-2,2.333
00000000-0000-0000-0000-000000000534,112-1,2.94
00000000-0000-0000-0000-000000000534,112-2,3.445
00000000-0000-0000-0000-000000000534,113-1,3.609
00000000-0000-0000-0000-000000000534,113-2,3.175
00000000-0000-0000-0000-000000000530,108-1,2.68
00000000-0000-0000-0000-000000000530,108-2,3.185
00000000-0000-0000-0000-000000000530,109-1,2.05
00000000-0000-0000-0000-000000000530,109-2,2.823
00000000-0000-0000-0000-000000000530,110-1,3.567
00000000-0000-0000-0000-000000000530,110-2,1.9
00000000-0000-0000-0000-000000000530,111-1,3.483
00000000-0000-0000-0000-000000000530,111-2,2.992
00000000-0000-0000-0000-000000000530,112-1,2.94
00000000-0000-0000-0000-000000000530,112-2,3
00000000-0000-0000-0000-000000000530,113-1,1.95
00000000-0000-0000-0000-000000000530,113-2,2.545
00000000-0000-0000-0000-000000000132,107-1,3.1
00000000-0000-0000-0000-000000000132,107-2,3.33
00000000-0000-0000-0000-000000000132,108-1,2.71
00000000-0000-0000-0000-000000000132,108-2,3.91
00000000-0000-0000-0000-000000000132,109-1,2.31
00000000-0000-0000-0000-000000000132,109-2,1.4
00000000-0000-0000-0000-000000000132,110-1,2.373
00000000-0000-0000-0000-000000000132,110-2,3.182
00000000-0000-0000-0000-000000000132,111-1,3.08
00000000-0000-0000-0000-000000000132,111-2,3.08
00000000-0000-0000-0000-000000000132,112-1,1.9
00000000-0000-0000-0000-000000000132,112-2,3.664
00000000-0000-0000-0000-000000000132,113-1,2.458
00000000-0000-0000-0000-000000000132,113-2,2.308
00000000-0000-0000-0000-000000000472,110-1,2.555
00000000-0000-0000-0000-000000000472,110-2,2.991
00000000-0000-0000-0000-000000000472,111-1,1.564
00000000-0000-0000-0000-000000000472,111-2,2.86
00000000-0000-0000-0000-000000000472,112-1,2.636
00000000-0000-0000-0000-000000000472,112-2,2.692
00000000-0000-0000-0000-000000000472,113-1,2.55
00000000-0000-0000-0000-000000000472,113-2,2.8
00000000-0000-0000-0000-000000000428,113-1,2.909
00000000-0000-0000-0000-000000000428,113-2,3.027
00000000-0000-0000-0000-000000000185,107-1,2.754
00000000-0000-0000-0000-000000000185,107-2,1.48
00000000-0000-0000-0000-000000000185,108-1,2.24
00000000-0000-0000-0000-000000000185,108-2,3.109
00000000-0000-0000-0000-000000000185,109-1,1.94
00000000-0000-0000-0000-000000000185,109-2,3.318
00000000-0000-0000-0000-000000000185,110-1,2.462
00000000-0000-0000-0000-000000000185,110-2,3.067
00000000-0000-0000-0000-000000000185,111-1,3.1
00000000-0000-0000-0000-000000000185,111-2,3.209
